Date_Time,NO2(GT)
20/06/2004 09.00.00,59
20/06/2004 10.00.00,53
20/06/2004 11.00.00,-200
20/06/2004 12.00.00,-200
20/06/2004 13.00.00,23
20/06/2004 14.00.00,22
20/06/2004 15.00.00,37
20/06/2004 16.00.00,53
20/06/2004 17.00.00,68
20/06/2004 18.00.00,125
20/06/2004 19.00.00,96
20/06/2004 20.00.00,75
20/06/2004 21.00.00,74
20/06/2004 22.00.00,92
20/06/2004 23.00.00,136
21/06/2004 00.00.00,-200
21/06/2004 01.00.00,76
21/06/2004 02.00.00,21
21/06/2004 03.00.00,-200
21/06/2004 04.00.00,15
21/06/2004 05.00.00,52
21/06/2004 06.00.00,85
21/06/2004 07.00.00,177
21/06/2004 08.00.00,232
21/06/2004 09.00.00,201
21/06/2004 10.00.00,134
21/06/2004 11.00.00,104
21/06/2004 12.00.00,89
21/06/2004 13.00.00,66
21/06/2004 14.00.00,85
21/06/2004 15.00.00,105
21/06/2004 16.00.00,99
21/06/2004 17.00.00,132
21/06/2004 18.00.00,760
21/06/2004 19.00.00,736
21/06/2004 20.00.00,149
21/06/2004 21.00.00,114
21/06/2004 22.00.00,92
21/06/2004 23.00.00,75
22/06/2004 00.00.00,74
22/06/2004 01.00.00,35
22/06/2004 02.00.00,22
22/06/2004 03.00.00,-200
22/06/2004 04.00.00,24
22/06/2004 05.00.00,30
22/06/2004 06.00.00,93
22/06/2004 07.00.00,332
22/06/2004 08.00.00,523
22/06/2004 09.00.00,267
22/06/2004 10.00.00,269
22/06/2004 11.00.00,193
22/06/2004 12.00.00,239
22/06/2004 13.00.00,707
22/06/2004 14.00.00,152
22/06/2004 15.00.00,115
22/06/2004 16.00.00,169
22/06/2004 17.00.00,226
22/06/2004 18.00.00,218
22/06/2004 19.00.00,245
22/06/2004 20.00.00,646
22/06/2004 21.00.00,104
22/06/2004 22.00.00,104
22/06/2004 23.00.00,144
23/06/2004 00.00.00,79
23/06/2004 01.00.00,51
23/06/2004 02.00.00,38
23/06/2004 03.00.00,-200
23/06/2004 04.00.00,1183
23/06/2004 05.00.00,30
23/06/2004 06.00.00,934
23/06/2004 07.00.00,305
23/06/2004 08.00.00,295
23/06/2004 09.00.00,331
23/06/2004 10.00.00,304
23/06/2004 11.00.00,210
23/06/2004 12.00.00,163
23/06/2004 13.00.00,132
23/06/2004 14.00.00,126
23/06/2004 15.00.00,150
23/06/2004 16.00.00,171
23/06/2004 17.00.00,234
23/06/2004 18.00.00,251
23/06/2004 19.00.00,294
23/06/2004 20.00.00,300
23/06/2004 21.00.00,159
23/06/2004 22.00.00,176
23/06/2004 23.00.00,192
24/06/2004 00.00.00,152
24/06/2004 01.00.00,63
24/06/2004 02.00.00,929
24/06/2004 03.00.00,-200
24/06/2004 04.00.00,21
24/06/2004 05.00.00,41
24/06/2004 06.00.00,48
24/06/2004 07.00.00,102
24/06/2004 08.00.00,111
24/06/2004 09.00.00,93
24/06/2004 10.00.00,118
24/06/2004 11.00.00,93
24/06/2004 12.00.00,56
24/06/2004 13.00.00,51
24/06/2004 14.00.00,52
24/06/2004 15.00.00,59
24/06/2004 16.00.00,62
24/06/2004 17.00.00,85
24/06/2004 18.00.00,109
24/06/2004 19.00.00,695
24/06/2004 20.00.00,166
24/06/2004 21.00.00,149
24/06/2004 22.00.00,118
24/06/2004 23.00.00,160
25/06/2004 00.00.00,124
25/06/2004 01.00.00,750
25/06/2004 02.00.00,34
25/06/2004 03.00.00,-200
25/06/2004 04.00.00,45
25/06/2004 05.00.00,35
25/06/2004 06.00.00,141
25/06/2004 07.00.00,199
25/06/2004 08.00.00,224
25/06/2004 09.00.00,245
25/06/2004 10.00.00,153
25/06/2004 11.00.00,145
25/06/2004 12.00.00,130
25/06/2004 13.00.00,95
25/06/2004 14.00.00,88
25/06/2004 15.00.00,89
25/06/2004 16.00.00,127
25/06/2004 17.00.00,149
25/06/2004 18.00.00,170
25/06/2004 19.00.00,210
25/06/2004 20.00.00,230
25/06/2004 21.00.00,203
25/06/2004 22.00.00,174
25/06/2004 23.00.00,164
26/06/2004 00.00.00,76
26/06/2004 01.00.00,1006
26/06/2004 02.00.00,47
26/06/2004 03.00.00,-200
26/06/2004 04.00.00,1129
26/06/2004 05.00.00,41
26/06/2004 06.00.00,74
26/06/2004 07.00.00,168
26/06/2004 08.00.00,176
26/06/2004 09.00.00,184
26/06/2004 10.00.00,187
26/06/2004 11.00.00,118
26/06/2004 12.00.00,89
26/06/2004 13.00.00,70
26/06/2004 14.00.00,1013
26/06/2004 15.00.00,1002
26/06/2004 16.00.00,70
26/06/2004 17.00.00,80
26/06/2004 18.00.00,90
26/06/2004 19.00.00,111
26/06/2004 20.00.00,107
26/06/2004 21.00.00,73
26/06/2004 22.00.00,75
26/06/2004 23.00.00,144
27/06/2004 00.00.00,120
27/06/2004 01.00.00,71
27/06/2004 02.00.00,873
27/06/2004 03.00.00,848
27/06/2004 04.00.00,34
27/06/2004 05.00.00,27
27/06/2004 06.00.00,30
27/06/2004 07.00.00,40
27/06/2004 08.00.00,913
27/06/2004 09.00.00,104
27/06/2004 10.00.00,121
27/06/2004 11.00.00,100
27/06/2004 12.00.00,59
27/06/2004 13.00.00,42
27/06/2004 14.00.00,38
27/06/2004 15.00.00,40
27/06/2004 16.00.00,70
27/06/2004 17.00.00,95
27/06/2004 18.00.00,90
27/06/2004 19.00.00,90
27/06/2004 20.00.00,799
27/06/2004 21.00.00,135
27/06/2004 22.00.00,146
27/06/2004 23.00.00,100
28/06/2004 00.00.00,69
28/06/2004 01.00.00,952
28/06/2004 02.00.00,26
28/06/2004 03.00.00,-200
28/06/2004 04.00.00,24
28/06/2004 05.00.00,55
28/06/2004 06.00.00,47
28/06/2004 07.00.00,209
28/06/2004 08.00.00,348
28/06/2004 09.00.00,337
28/06/2004 10.00.00,280
28/06/2004 11.00.00,169
28/06/2004 12.00.00,126
28/06/2004 13.00.00,108
28/06/2004 14.00.00,93
28/06/2004 15.00.00,741
28/06/2004 16.00.00,110
28/06/2004 17.00.00,188
28/06/2004 18.00.00,203
28/06/2004 19.00.00,167
28/06/2004 20.00.00,116
28/06/2004 21.00.00,89
28/06/2004 22.00.00,103
28/06/2004 23.00.00,745
29/06/2004 00.00.00,86
29/06/2004 01.00.00,52
29/06/2004 02.00.00,27
29/06/2004 03.00.00,-200
29/06/2004 04.00.00,1048
29/06/2004 05.00.00,42
29/06/2004 06.00.00,57
29/06/2004 07.00.00,228
29/06/2004 08.00.00,350
29/06/2004 09.00.00,232
29/06/2004 10.00.00,206
29/06/2004 11.00.00,159
29/06/2004 12.00.00,184
29/06/2004 13.00.00,136
29/06/2004 14.00.00,124
29/06/2004 15.00.00,133
29/06/2004 16.00.00,156
29/06/2004 17.00.00,200
29/06/2004 18.00.00,202
29/06/2004 19.00.00,286
29/06/2004 20.00.00,141
29/06/2004 21.00.00,117
29/06/2004 22.00.00,110
29/06/2004 23.00.00,100
30/06/2004 00.00.00,112
30/06/2004 01.00.00,35
30/06/2004 02.00.00,33
30/06/2004 03.00.00,-200
30/06/2004 04.00.00,28
30/06/2004 05.00.00,49
30/06/2004 06.00.00,81
30/06/2004 07.00.00,178
30/06/2004 08.00.00,223
30/06/2004 09.00.00,290
30/06/2004 10.00.00,274
30/06/2004 11.00.00,675
30/06/2004 12.00.00,152
30/06/2004 13.00.00,118
30/06/2004 14.00.00,141
30/06/2004 15.00.00,131
30/06/2004 16.00.00,171
30/06/2004 17.00.00,287
30/06/2004 18.00.00,267
30/06/2004 19.00.00,280
30/06/2004 20.00.00,224
30/06/2004 21.00.00,137
30/06/2004 22.00.00,118
30/06/2004 23.00.00,128
01/07/2004 00.00.00,111
01/07/2004 01.00.00,66
01/07/2004 02.00.00,36
01/07/2004 03.00.00,-200
01/07/2004 04.00.00,31
01/07/2004 05.00.00,75
01/07/2004 06.00.00,66
01/07/2004 07.00.00,154
01/07/2004 08.00.00,239
01/07/2004 09.00.00,246
01/07/2004 10.00.00,261
01/07/2004 11.00.00,767
01/07/2004 12.00.00,159
01/07/2004 13.00.00,710
01/07/2004 14.00.00,101
01/07/2004 15.00.00,118
01/07/2004 16.00.00,120
01/07/2004 17.00.00,177
01/07/2004 18.00.00,186
01/07/2004 19.00.00,235
01/07/2004 20.00.00,195
01/07/2004 21.00.00,106
01/07/2004 22.00.00,107
01/07/2004 23.00.00,134
02/07/2004 00.00.00,117
02/07/2004 01.00.00,83
02/07/2004 02.00.00,77
02/07/2004 03.00.00,-200
02/07/2004 04.00.00,1043
02/07/2004 05.00.00,50
02/07/2004 06.00.00,60
02/07/2004 07.00.00,179
02/07/2004 08.00.00,300
02/07/2004 09.00.00,263
02/07/2004 10.00.00,265
02/07/2004 11.00.00,164
02/07/2004 12.00.00,122
02/07/2004 13.00.00,125
02/07/2004 14.00.00,125
02/07/2004 15.00.00,115
02/07/2004 16.00.00,162
02/07/2004 17.00.00,149
02/07/2004 18.00.00,161
02/07/2004 19.00.00,739
02/07/2004 20.00.00,209
02/07/2004 21.00.00,133
02/07/2004 22.00.00,133
02/07/2004 23.00.00,134
03/07/2004 00.00.00,164
03/07/2004 01.00.00,72
03/07/2004 02.00.00,50
03/07/2004 03.00.00,-200
03/07/2004 04.00.00,27
03/07/2004 05.00.00,74
03/07/2004 06.00.00,69
03/07/2004 07.00.00,162
03/07/2004 08.00.00,208
03/07/2004 09.00.00,168
03/07/2004 10.00.00,139
03/07/2004 11.00.00,104
03/07/2004 12.00.00,99
03/07/2004 13.00.00,89
03/07/2004 14.00.00,57
03/07/2004 15.00.00,64
03/07/2004 16.00.00,65
03/07/2004 17.00.00,79
03/07/2004 18.00.00,80
03/07/2004 19.00.00,81
03/07/2004 20.00.00,59
03/07/2004 21.00.00,90
03/07/2004 22.00.00,728
03/07/2004 23.00.00,120
04/07/2004 00.00.00,126
04/07/2004 01.00.00,68
04/07/2004 02.00.00,65
04/07/2004 03.00.00,-200
04/07/2004 04.00.00,38
04/07/2004 05.00.00,31
04/07/2004 06.00.00,40
04/07/2004 07.00.00,36
04/07/2004 08.00.00,64
04/07/2004 09.00.00,859
04/07/2004 10.00.00,877
04/07/2004 11.00.00,939
04/07/2004 12.00.00,40
04/07/2004 13.00.00,34
04/07/2004 14.00.00,28
04/07/2004 15.00.00,32
04/07/2004 16.00.00,39
04/07/2004 17.00.00,52
04/07/2004 18.00.00,60
04/07/2004 19.00.00,104
04/07/2004 20.00.00,102
04/07/2004 21.00.00,120
04/07/2004 22.00.00,89
04/07/2004 23.00.00,121
05/07/2004 00.00.00,107
05/07/2004 01.00.00,41
05/07/2004 02.00.00,34
05/07/2004 03.00.00,-200
05/07/2004 04.00.00,1073
05/07/2004 05.00.00,38
05/07/2004 06.00.00,59
05/07/2004 07.00.00,697
05/07/2004 08.00.00,287
05/07/2004 09.00.00,317
05/07/2004 10.00.00,330
05/07/2004 11.00.00,204
05/07/2004 12.00.00,189
05/07/2004 13.00.00,165
05/07/2004 14.00.00,139
05/07/2004 15.00.00,776
05/07/2004 16.00.00,130
05/07/2004 17.00.00,633
05/07/2004 18.00.00,302
05/07/2004 19.00.00,239
05/07/2004 20.00.00,139
05/07/2004 21.00.00,92
05/07/2004 22.00.00,104
05/07/2004 23.00.00,108
06/07/2004 00.00.00,107
06/07/2004 01.00.00,55
06/07/2004 02.00.00,43
06/07/2004 03.00.00,-200
06/07/2004 04.00.00,23
06/07/2004 05.00.00,65
06/07/2004 06.00.00,165
06/07/2004 07.00.00,274
06/07/2004 08.00.00,369
06/07/2004 09.00.00,308
06/07/2004 10.00.00,227
06/07/2004 11.00.00,178
06/07/2004 12.00.00,267
06/07/2004 13.00.00,278
06/07/2004 14.00.00,165
06/07/2004 15.00.00,789
06/07/2004 16.00.00,216
06/07/2004 17.00.00,306
06/07/2004 18.00.00,317
06/07/2004 19.00.00,251
06/07/2004 20.00.00,613
06/07/2004 21.00.00,154
06/07/2004 22.00.00,137
06/07/2004 23.00.00,133
07/07/2004 00.00.00,117
07/07/2004 01.00.00,106
07/07/2004 02.00.00,55
07/07/2004 03.00.00,-200
07/07/2004 04.00.00,27
07/07/2004 05.00.00,46
07/07/2004 06.00.00,144
07/07/2004 07.00.00,392
07/07/2004 08.00.00,358
07/07/2004 09.00.00,572
07/07/2004 10.00.00,261
07/07/2004 11.00.00,761
07/07/2004 12.00.00,741
07/07/2004 13.00.00,193
07/07/2004 14.00.00,195
07/07/2004 15.00.00,159
07/07/2004 16.00.00,120
07/07/2004 17.00.00,228
07/07/2004 18.00.00,348
07/07/2004 19.00.00,337
07/07/2004 20.00.00,282
07/07/2004 21.00.00,228
07/07/2004 22.00.00,168
07/07/2004 23.00.00,173
08/07/2004 00.00.00,87
08/07/2004 01.00.00,65
08/07/2004 02.00.00,43
08/07/2004 03.00.00,-200
08/07/2004 04.00.00,866
08/07/2004 05.00.00,66
08/07/2004 06.00.00,57
08/07/2004 07.00.00,231
08/07/2004 08.00.00,219
08/07/2004 09.00.00,596
08/07/2004 10.00.00,312
08/07/2004 11.00.00,361
08/07/2004 12.00.00,147
08/07/2004 13.00.00,111
08/07/2004 14.00.00,98
08/07/2004 15.00.00,156
08/07/2004 16.00.00,213
08/07/2004 17.00.00,250
08/07/2004 18.00.00,253
08/07/2004 19.00.00,317
08/07/2004 20.00.00,309
08/07/2004 21.00.00,201
08/07/2004 22.00.00,173
08/07/2004 23.00.00,156
09/07/2004 00.00.00,190
09/07/2004 01.00.00,129
09/07/2004 02.00.00,823
09/07/2004 03.00.00,-200
09/07/2004 04.00.00,29
09/07/2004 05.00.00,58
09/07/2004 06.00.00,847
09/07/2004 07.00.00,228
09/07/2004 08.00.00,172
09/07/2004 09.00.00,154
09/07/2004 10.00.00,166
09/07/2004 11.00.00,149
09/07/2004 12.00.00,111
09/07/2004 13.00.00,145
09/07/2004 14.00.00,105
09/07/2004 15.00.00,113
09/07/2004 16.00.00,115
09/07/2004 17.00.00,202
09/07/2004 18.00.00,180
09/07/2004 19.00.00,190
09/07/2004 20.00.00,207
09/07/2004 21.00.00,113
09/07/2004 22.00.00,98
09/07/2004 23.00.00,152
10/07/2004 00.00.00,161
10/07/2004 01.00.00,91
10/07/2004 02.00.00,845
10/07/2004 03.00.00,-200
10/07/2004 04.00.00,22
10/07/2004 05.00.00,41
10/07/2004 06.00.00,53
10/07/2004 07.00.00,92
10/07/2004 08.00.00,91
10/07/2004 09.00.00,89
10/07/2004 10.00.00,81
10/07/2004 11.00.00,66
10/07/2004 12.00.00,53
10/07/2004 13.00.00,61
10/07/2004 14.00.00,48
10/07/2004 15.00.00,39
10/07/2004 16.00.00,41
10/07/2004 17.00.00,48
10/07/2004 18.00.00,50
10/07/2004 19.00.00,51
10/07/2004 20.00.00,70
10/07/2004 21.00.00,89
10/07/2004 22.00.00,100
10/07/2004 23.00.00,139
11/07/2004 00.00.00,176
11/07/2004 01.00.00,880
11/07/2004 02.00.00,37
11/07/2004 03.00.00,875
11/07/2004 04.00.00,30
11/07/2004 05.00.00,29
11/07/2004 06.00.00,25
11/07/2004 07.00.00,40
11/07/2004 08.00.00,32
11/07/2004 09.00.00,43
11/07/2004 10.00.00,44
11/07/2004 11.00.00,35
11/07/2004 12.00.00,32
11/07/2004 13.00.00,21
11/07/2004 14.00.00,10
11/07/2004 15.00.00,22
11/07/2004 16.00.00,46
11/07/2004 17.00.00,66
11/07/2004 18.00.00,49
11/07/2004 19.00.00,86
11/07/2004 20.00.00,111
11/07/2004 21.00.00,143
11/07/2004 22.00.00,184
11/07/2004 23.00.00,134
12/07/2004 00.00.00,78
12/07/2004 01.00.00,50
12/07/2004 02.00.00,13
12/07/2004 03.00.00,-200
12/07/2004 04.00.00,1200
12/07/2004 05.00.00,43
12/07/2004 06.00.00,146
12/07/2004 07.00.00,333
12/07/2004 08.00.00,298
12/07/2004 09.00.00,178
12/07/2004 10.00.00,177
12/07/2004 11.00.00,172
12/07/2004 12.00.00,183
12/07/2004 13.00.00,164
12/07/2004 14.00.00,122
12/07/2004 15.00.00,105
12/07/2004 16.00.00,144
12/07/2004 17.00.00,220
12/07/2004 18.00.00,207
12/07/2004 19.00.00,210
12/07/2004 20.00.00,175
12/07/2004 21.00.00,117
12/07/2004 22.00.00,93
12/07/2004 23.00.00,118
13/07/2004 00.00.00,132
13/07/2004 01.00.00,932
13/07/2004 02.00.00,43
13/07/2004 03.00.00,-200
13/07/2004 04.00.00,44
13/07/2004 05.00.00,50
13/07/2004 06.00.00,101
13/07/2004 07.00.00,567
13/07/2004 08.00.00,524
13/07/2004 09.00.00,321
13/07/2004 10.00.00,272
13/07/2004 11.00.00,278
13/07/2004 12.00.00,253
13/07/2004 13.00.00,187
13/07/2004 14.00.00,870
13/07/2004 15.00.00,89
13/07/2004 16.00.00,124
13/07/2004 17.00.00,206
13/07/2004 18.00.00,241
13/07/2004 19.00.00,303
13/07/2004 20.00.00,294
13/07/2004 21.00.00,203
13/07/2004 22.00.00,176
13/07/2004 23.00.00,155
14/07/2004 00.00.00,108
14/07/2004 01.00.00,72
14/07/2004 02.00.00,65
14/07/2004 03.00.00,-200
14/07/2004 04.00.00,39
14/07/2004 05.00.00,79
14/07/2004 06.00.00,140
14/07/2004 07.00.00,427
14/07/2004 08.00.00,366
14/07/2004 09.00.00,311
14/07/2004 10.00.00,275
14/07/2004 11.00.00,195
14/07/2004 12.00.00,144
14/07/2004 13.00.00,829
14/07/2004 14.00.00,800
14/07/2004 15.00.00,176
14/07/2004 16.00.00,203
14/07/2004 17.00.00,237
14/07/2004 18.00.00,676
14/07/2004 19.00.00,300
14/07/2004 20.00.00,717
14/07/2004 21.00.00,185
14/07/2004 22.00.00,134
14/07/2004 23.00.00,96
15/07/2004 00.00.00,122
15/07/2004 01.00.00,64
15/07/2004 02.00.00,30
15/07/2004 03.00.00,-200
15/07/2004 04.00.00,1105
15/07/2004 05.00.00,36
15/07/2004 06.00.00,58
15/07/2004 07.00.00,168
15/07/2004 08.00.00,526
15/07/2004 09.00.00,231
15/07/2004 10.00.00,157
15/07/2004 11.00.00,132
15/07/2004 12.00.00,736
15/07/2004 13.00.00,742
15/07/2004 14.00.00,125
15/07/2004 15.00.00,773
15/07/2004 16.00.00,163
15/07/2004 17.00.00,259
15/07/2004 18.00.00,236
15/07/2004 19.00.00,245
15/07/2004 20.00.00,344
15/07/2004 21.00.00,188
15/07/2004 22.00.00,149
15/07/2004 23.00.00,102
16/07/2004 00.00.00,99
16/07/2004 01.00.00,904
16/07/2004 02.00.00,36
16/07/2004 03.00.00,-200
16/07/2004 04.00.00,30
16/07/2004 05.00.00,56
16/07/2004 06.00.00,51
16/07/2004 07.00.00,172
16/07/2004 08.00.00,316
16/07/2004 09.00.00,269
16/07/2004 10.00.00,802
16/07/2004 11.00.00,206
16/07/2004 12.00.00,156
16/07/2004 13.00.00,120
16/07/2004 14.00.00,161
16/07/2004 15.00.00,114
16/07/2004 16.00.00,191
16/07/2004 17.00.00,236
16/07/2004 18.00.00,606
16/07/2004 19.00.00,266
16/07/2004 20.00.00,274
16/07/2004 21.00.00,196
16/07/2004 22.00.00,144
16/07/2004 23.00.00,142
17/07/2004 00.00.00,124
17/07/2004 01.00.00,93
17/07/2004 02.00.00,71
17/07/2004 03.00.00,-200
17/07/2004 04.00.00,56
17/07/2004 05.00.00,46
17/07/2004 06.00.00,51
17/07/2004 07.00.00,83
17/07/2004 08.00.00,713
17/07/2004 09.00.00,148
17/07/2004 10.00.00,167
17/07/2004 11.00.00,120
17/07/2004 12.00.00,78
17/07/2004 13.00.00,76
17/07/2004 14.00.00,1001
17/07/2004 15.00.00,1039
17/07/2004 16.00.00,70
17/07/2004 17.00.00,87
17/07/2004 18.00.00,69
17/07/2004 19.00.00,95
17/07/2004 20.00.00,810
17/07/2004 21.00.00,88
17/07/2004 22.00.00,100
17/07/2004 23.00.00,125
18/07/2004 00.00.00,132
18/07/2004 01.00.00,57
18/07/2004 02.00.00,46
18/07/2004 03.00.00,-200
18/07/2004 04.00.00,1023
18/07/2004 05.00.00,33
18/07/2004 06.00.00,50
18/07/2004 07.00.00,39
18/07/2004 08.00.00,84
18/07/2004 09.00.00,93
18/07/2004 10.00.00,82
18/07/2004 11.00.00,73
18/07/2004 12.00.00,43
18/07/2004 13.00.00,39
18/07/2004 14.00.00,27
18/07/2004 15.00.00,46
18/07/2004 16.00.00,53
18/07/2004 17.00.00,38
18/07/2004 18.00.00,39
18/07/2004 19.00.00,49
18/07/2004 20.00.00,68
18/07/2004 21.00.00,102
18/07/2004 22.00.00,123
18/07/2004 23.00.00,106
19/07/2004 00.00.00,66
19/07/2004 01.00.00,43
19/07/2004 02.00.00,33
19/07/2004 03.00.00,1090
19/07/2004 04.00.00,33
19/07/2004 05.00.00,75
19/07/2004 06.00.00,111
19/07/2004 07.00.00,250
19/07/2004 08.00.00,313
19/07/2004 09.00.00,263
19/07/2004 10.00.00,282
19/07/2004 11.00.00,226
19/07/2004 12.00.00,709
19/07/2004 13.00.00,777
19/07/2004 14.00.00,799
19/07/2004 15.00.00,777
19/07/2004 16.00.00,761
19/07/2004 17.00.00,658
19/07/2004 18.00.00,586
19/07/2004 19.00.00,610
19/07/2004 20.00.00,658
19/07/2004 21.00.00,664
19/07/2004 22.00.00,628
19/07/2004 23.00.00,728
20/07/2004 00.00.00,762
20/07/2004 01.00.00,802
20/07/2004 02.00.00,827
20/07/2004 03.00.00,924
20/07/2004 04.00.00,879
20/07/2004 05.00.00,856
20/07/2004 06.00.00,683
20/07/2004 07.00.00,499
20/07/2004 08.00.00,412
20/07/2004 09.00.00,494
20/07/2004 10.00.00,567
20/07/2004 11.00.00,645
20/07/2004 12.00.00,685
20/07/2004 13.00.00,713
20/07/2004 14.00.00,727
20/07/2004 15.00.00,714
20/07/2004 16.00.00,771
20/07/2004 17.00.00,632
20/07/2004 18.00.00,685
20/07/2004 19.00.00,648
20/07/2004 20.00.00,638
20/07/2004 21.00.00,695
20/07/2004 22.00.00,644
20/07/2004 23.00.00,645
21/07/2004 00.00.00,733
21/07/2004 01.00.00,784
21/07/2004 02.00.00,816
21/07/2004 03.00.00,967
21/07/2004 04.00.00,1006
21/07/2004 05.00.00,828
21/07/2004 06.00.00,751
21/07/2004 07.00.00,562
21/07/2004 08.00.00,471
21/07/2004 09.00.00,576
21/07/2004 10.00.00,545
21/07/2004 11.00.00,656
21/07/2004 12.00.00,736
21/07/2004 13.00.00,741
21/07/2004 14.00.00,865
21/07/2004 15.00.00,778
21/07/2004 16.00.00,767
21/07/2004 17.00.00,733
21/07/2004 18.00.00,124
21/07/2004 19.00.00,165
21/07/2004 20.00.00,164
21/07/2004 21.00.00,122
21/07/2004 22.00.00,134
21/07/2004 23.00.00,121
22/07/2004 00.00.00,112
22/07/2004 01.00.00,62
22/07/2004 02.00.00,50
22/07/2004 03.00.00,-200
22/07/2004 04.00.00,796
22/07/2004 05.00.00,48
22/07/2004 06.00.00,58
22/07/2004 07.00.00,306
22/07/2004 08.00.00,410
22/07/2004 09.00.00,551
22/07/2004 10.00.00,266
22/07/2004 11.00.00,159
22/07/2004 12.00.00,144
22/07/2004 13.00.00,712
22/07/2004 14.00.00,108
22/07/2004 15.00.00,153
22/07/2004 16.00.00,166
22/07/2004 17.00.00,179
22/07/2004 18.00.00,225
22/07/2004 19.00.00,567
22/07/2004 20.00.00,228
22/07/2004 21.00.00,137
22/07/2004 22.00.00,116
22/07/2004 23.00.00,143
23/07/2004 00.00.00,157
23/07/2004 01.00.00,72
23/07/2004 02.00.00,42
23/07/2004 03.00.00,-200
23/07/2004 04.00.00,34
23/07/2004 05.00.00,74
23/07/2004 06.00.00,743
23/07/2004 07.00.00,199
23/07/2004 08.00.00,262
23/07/2004 09.00.00,236
23/07/2004 10.00.00,186
23/07/2004 11.00.00,132
23/07/2004 12.00.00,140
23/07/2004 13.00.00,143
23/07/2004 14.00.00,99
23/07/2004 15.00.00,107
23/07/2004 16.00.00,130
23/07/2004 17.00.00,133
23/07/2004 18.00.00,600
23/07/2004 19.00.00,155
23/07/2004 20.00.00,154
23/07/2004 21.00.00,95
23/07/2004 22.00.00,110
23/07/2004 23.00.00,116
24/07/2004 00.00.00,153
24/07/2004 01.00.00,111
24/07/2004 02.00.00,79
24/07/2004 03.00.00,-200
24/07/2004 04.00.00,47
24/07/2004 05.00.00,61
24/07/2004 06.00.00,56
24/07/2004 07.00.00,733
24/07/2004 08.00.00,109
24/07/2004 09.00.00,111
24/07/2004 10.00.00,150
24/07/2004 11.00.00,87
24/07/2004 12.00.00,64
24/07/2004 13.00.00,47
24/07/2004 14.00.00,34
24/07/2004 15.00.00,37
24/07/2004 16.00.00,49
24/07/2004 17.00.00,54
24/07/2004 18.00.00,70
24/07/2004 19.00.00,76
24/07/2004 20.00.00,59
24/07/2004 21.00.00,44
24/07/2004 22.00.00,47
24/07/2004 23.00.00,71
25/07/2004 00.00.00,90
25/07/2004 01.00.00,45
25/07/2004 02.00.00,44
25/07/2004 03.00.00,-200
25/07/2004 04.00.00,1119
25/07/2004 05.00.00,10
25/07/2004 06.00.00,19
25/07/2004 07.00.00,20
25/07/2004 08.00.00,30
25/07/2004 09.00.00,24
25/07/2004 10.00.00,35
25/07/2004 11.00.00,48
25/07/2004 12.00.00,41
25/07/2004 13.00.00,37
25/07/2004 14.00.00,32
25/07/2004 15.00.00,43
25/07/2004 16.00.00,28
25/07/2004 17.00.00,38
25/07/2004 18.00.00,72
25/07/2004 19.00.00,89
25/07/2004 20.00.00,103
25/07/2004 21.00.00,77
25/07/2004 22.00.00,84
25/07/2004 23.00.00,82
26/07/2004 00.00.00,81
26/07/2004 01.00.00,50
26/07/2004 02.00.00,30
26/07/2004 03.00.00,1129
26/07/2004 04.00.00,1204
26/07/2004 05.00.00,1097
26/07/2004 06.00.00,830
26/07/2004 07.00.00,686
26/07/2004 08.00.00,734
26/07/2004 09.00.00,832
26/07/2004 10.00.00,861
26/07/2004 11.00.00,838
26/07/2004 12.00.00,834
26/07/2004 13.00.00,834
26/07/2004 14.00.00,975
26/07/2004 15.00.00,866
26/07/2004 16.00.00,867
26/07/2004 17.00.00,767
26/07/2004 18.00.00,659
26/07/2004 19.00.00,709
26/07/2004 20.00.00,756
26/07/2004 21.00.00,815
26/07/2004 22.00.00,881
26/07/2004 23.00.00,813
27/07/2004 00.00.00,873
27/07/2004 01.00.00,942
27/07/2004 02.00.00,949
27/07/2004 03.00.00,1128
27/07/2004 04.00.00,1064
27/07/2004 05.00.00,1035
27/07/2004 06.00.00,796
27/07/2004 07.00.00,724
27/07/2004 08.00.00,728
27/07/2004 09.00.00,765
27/07/2004 10.00.00,780
27/07/2004 11.00.00,839
27/07/2004 12.00.00,894
27/07/2004 13.00.00,890
27/07/2004 14.00.00,928
27/07/2004 15.00.00,942
27/07/2004 16.00.00,925
27/07/2004 17.00.00,818
27/07/2004 18.00.00,781
27/07/2004 19.00.00,819
27/07/2004 20.00.00,846
27/07/2004 21.00.00,892
27/07/2004 22.00.00,874
27/07/2004 23.00.00,940
28/07/2004 00.00.00,835
28/07/2004 01.00.00,873
28/07/2004 02.00.00,999
28/07/2004 03.00.00,1156
28/07/2004 04.00.00,1022
28/07/2004 05.00.00,977
28/07/2004 06.00.00,875
28/07/2004 07.00.00,670
28/07/2004 08.00.00,515
28/07/2004 09.00.00,575
28/07/2004 10.00.00,719
28/07/2004 11.00.00,872
28/07/2004 12.00.00,829
28/07/2004 13.00.00,877
28/07/2004 14.00.00,909
28/07/2004 15.00.00,830
28/07/2004 16.00.00,838
28/07/2004 17.00.00,704
28/07/2004 18.00.00,679
28/07/2004 19.00.00,687
28/07/2004 20.00.00,710
28/07/2004 21.00.00,780
28/07/2004 22.00.00,783
28/07/2004 23.00.00,805
29/07/2004 00.00.00,776
